lexit	year	opm
important	1975	336.309
important	1976	344.216
important	1977	354.677
important	1978	345.832
important	1979	349.192
important	1980	362.202
important	1981	352.989
important	1982	357.257
important	1983	366.797
important	1984	365.500
important	1985	380.776
important	1986	393.235
important	1987	404.848
important	1988	411.348
important	1989	452.860
important	1990	466.390
important	1991	479.122
important	1992	491.147
important	1993	507.680
important	1994	522.617
important	1995	543.964
important	1996	561.718
important	1997	575.275
important	1998	594.309
important	1999	605.943
important	2000	626.501
important	2001	648.078
important	2002	659.722
important	2003	667.689
important	2004	675.397
important	2005	680.536
important	2006	692.288
important	2007	702.124
important	2008	707.121
important	2009	712.651
important	2010	722.663
important	2011	727.981
important	2012	729.632
important	2013	731.615
important	2014	733.330
important	2015	727.859
important	2016	719.726
important	2017	711.189
important	2018	695.741
important	2019	688.149
important	2020	674.003
important	2021	660.026
important	2022	651.870
important	2023	598.386
important	2024	546.825
actually	1975	21.110
actually	1976	19.288
actually	1977	18.267
actually	1978	20.929
actually	1979	20.611
actually	1980	19.553
actually	1981	21.370
actually	1982	20.809
actually	1983	21.699
actually	1984	22.465
actually	1985	21.103
actually	1986	21.856
actually	1987	20.134
actually	1988	19.578
actually	1989	21.351
actually	1990	19.047
actually	1991	20.697
actually	1992	19.333
actually	1993	19.826
actually	1994	20.167
actually	1995	20.396
actually	1996	19.140
actually	1997	20.150
actually	1998	19.661
actually	1999	19.215
actually	2000	21.266
actually	2001	20.394
actually	2002	20.376
actually	2003	19.338
actually	2004	19.183
actually	2005	18.310
actually	2006	19.025
actually	2007	19.302
actually	2008	18.638
actually	2009	19.148
actually	2010	18.153
actually	2011	17.678
actually	2012	17.202
actually	2013	15.915
actually	2014	16.447
actually	2015	14.923
actually	2016	14.988
actually	2017	13.601
actually	2018	13.008
actually	2019	12.399
actually	2020	11.337
actually	2021	9.437
actually	2022	7.807
actually	2023	6.863
actually	2024	6.323
evidently	1975	8.460
evidently	1976	7.048
evidently	1977	7.371
evidently	1978	6.719
evidently	1979	7.712
evidently	1980	6.853
evidently	1981	6.289
evidently	1982	6.546
evidently	1983	6.032
evidently	1984	5.323
evidently	1985	5.183
evidently	1986	5.656
evidently	1987	4.485
evidently	1988	5.149
evidently	1989	4.711
evidently	1990	4.440
evidently	1991	3.434
evidently	1992	3.171
evidently	1993	2.769
evidently	1994	2.980
evidently	1995	2.748
evidently	1996	2.722
evidently	1997	2.783
evidently	1998	2.718
evidently	1999	2.328
evidently	2000	2.419
evidently	2001	2.501
evidently	2002	3.222
evidently	2003	2.664
evidently	2004	3.048
evidently	2005	3.045
evidently	2006	2.930
evidently	2007	2.900
evidently	2008	2.758
evidently	2009	2.806
evidently	2010	2.228
evidently	2011	2.254
evidently	2012	2.190
evidently	2013	2.187
evidently	2014	2.325
evidently	2015	2.619
evidently	2016	2.536
evidently	2017	2.345
evidently	2018	2.650
evidently	2019	3.111
evidently	2020	3.255
evidently	2021	2.897
evidently	2022	2.490
evidently	2023	2.179
evidently	2024	1.791
obviously	1975	13.858
obviously	1976	12.166
obviously	1977	11.937
obviously	1978	14.905
obviously	1979	13.741
obviously	1980	12.134
obviously	1981	11.588
obviously	1982	11.655
obviously	1983	11.153
obviously	1984	9.745
obviously	1985	9.070
obviously	1986	8.554
obviously	1987	8.217
obviously	1988	9.434
obviously	1989	11.452
obviously	1990	11.958
obviously	1991	9.588
obviously	1992	9.316
obviously	1993	9.336
obviously	1994	8.603
obviously	1995	8.226
obviously	1996	8.741
obviously	1997	9.170
obviously	1998	9.514
obviously	1999	9.478
obviously	2000	10.975
obviously	2001	10.446
obviously	2002	12.244
obviously	2003	12.357
obviously	2004	12.849
obviously	2005	14.478
obviously	2006	14.076
obviously	2007	14.699
obviously	2008	14.646
obviously	2009	15.324
obviously	2010	14.098
obviously	2011	13.660
obviously	2012	13.904
obviously	2013	13.160
obviously	2014	13.661
obviously	2015	14.836
obviously	2016	14.826
obviously	2017	14.025
obviously	2018	14.384
obviously	2019	14.835
obviously	2020	13.139
obviously	2021	11.849
obviously	2022	12.141
obviously	2023	8.691
obviously	2024	7.750
certainly	1975	9.185
certainly	1976	9.718
certainly	1977	9.614
certainly	1978	8.881
certainly	1979	9.114
certainly	1980	8.299
certainly	1981	7.453
certainly	1982	7.504
certainly	1983	7.508
certainly	1984	7.123
certainly	1985	6.664
certainly	1986	7.053
certainly	1987	5.958
certainly	1988	7.399
certainly	1989	6.892
certainly	1990	6.421
certainly	1991	6.799
certainly	1992	6.867
certainly	1993	6.630
certainly	1994	6.531
certainly	1995	6.412
certainly	1996	6.194
certainly	1997	5.415
certainly	1998	5.468
certainly	1999	5.751
certainly	2000	6.375
certainly	2001	5.714
certainly	2002	5.645
certainly	2003	5.558
certainly	2004	5.928
certainly	2005	5.155
certainly	2006	5.127
certainly	2007	4.678
certainly	2008	5.086
certainly	2009	4.802
certainly	2010	4.571
certainly	2011	4.665
certainly	2012	4.342
certainly	2013	4.315
certainly	2014	4.030
certainly	2015	3.909
certainly	2016	3.954
certainly	2017	3.717
certainly	2018	3.585
certainly	2019	3.280
certainly	2020	3.703
certainly	2021	3.303
certainly	2022	3.074
certainly	2023	2.569
certainly	2024	2.339
really	1975	5.721
really	1976	4.080
really	1977	3.685
really	1978	4.325
really	1979	3.996
really	1980	3.898
really	1981	3.144
really	1982	3.246
really	1983	2.604
really	1984	2.935
really	1985	2.851
really	1986	3.038
really	1987	2.619
really	1988	3.052
really	1989	4.185
really	1990	3.819
really	1991	3.849
really	1992	3.193
really	1993	3.630
really	1994	3.572
really	1995	3.571
really	1996	3.943
really	1997	3.520
really	1998	3.619
really	1999	3.210
really	2000	3.607
really	2001	3.643
really	2002	3.402
really	2003	3.454
really	2004	3.590
really	2005	3.538
really	2006	3.455
really	2007	3.621
really	2008	3.896
really	2009	3.593
really	2010	3.214
really	2011	3.029
really	2012	3.209
really	2013	3.078
really	2014	3.039
really	2015	3.054
really	2016	2.819
really	2017	2.879
really	2018	2.351
really	2019	2.169
really	2020	2.394
really	2021	1.962
really	2022	2.049
really	2023	1.666
really	2024	1.382
apparently	1975	137.053
apparently	1976	127.820
apparently	1977	125.062
apparently	1978	123.953
apparently	1979	114.061
apparently	1980	113.986
apparently	1981	110.113
apparently	1982	105.692
apparently	1983	104.632
apparently	1984	93.655
apparently	1985	95.074
apparently	1986	89.240
apparently	1987	84.106
apparently	1988	80.777
apparently	1989	72.674
apparently	1990	72.703
apparently	1991	69.743
apparently	1992	66.330
apparently	1993	60.339
apparently	1994	58.862
apparently	1995	56.739
apparently	1996	52.482
apparently	1997	51.229
apparently	1998	50.481
apparently	1999	46.128
apparently	2000	43.258
apparently	2001	40.332
apparently	2002	38.020
apparently	2003	36.524
apparently	2004	34.899
apparently	2005	32.725
apparently	2006	32.101
apparently	2007	30.436
apparently	2008	28.495
apparently	2009	26.185
apparently	2010	24.581
apparently	2011	22.698
apparently	2012	21.052
apparently	2013	21.246
apparently	2014	18.439
apparently	2015	18.135
apparently	2016	16.384
apparently	2017	15.806
apparently	2018	13.220
apparently	2019	12.235
apparently	2020	11.815
apparently	2021	10.473
apparently	2022	8.410
apparently	2023	7.675
apparently	2024	6.913
